Line Type,Start MP,End MP,Start Coordinates,End Coordinates,Start Longitude,Start Latitude,End Longitude,End Latitude,Shape Length,Direction,Zone ,Plaza,Start Link,End Link
Dashed,258.22,259.074,"40.131045, -111.647083","40.143386, -111.646567",40.131045,-111.647083,40.143386,-111.646567,0.854,NB,135,130,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/51684,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/51855
Double,259.074,260.077,"40.143386, -111.646567","40.157931, -111.646480",40.143386,-111.646567,40.157931,-111.64648,1.003,NB,135,130,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/51855,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/52056
Dashed,260.077,260.566,"40.157931, -111.646480","40.165016, -111.646436",40.157931,-111.64648,40.165016,-111.646436,0.489,NB,135,130,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/52056,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/52154
Double,260.566,261.953,"40.165016, -111.646436","40.185137, -111.646301",40.165016,-111.646436,40.185137,-111.646301,1.387,NB,135,130,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/52154,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/52432
Dashed,261.953,262.507,"40.185137, -111.646301","40.193086, -111.647318",40.185137,-111.646301,40.193086,-111.647318,0.554,NB,130,140,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/52432,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/52543
Double,262.507,263.655,"40.193086, -111.647318","40.207381, -111.658324",40.193086,-111.647318,40.207381,-111.658324,1.148,NB,130,140,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/52543,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/52773
Dashed,263.655,264.239,"40.207381, -111.658324","40.214594, -111.664111",40.207381,-111.658324,40.214594,-111.664111,0.584,NB,130,145,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/52773,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/52890
Double,264.239,265.577,"40.214594, -111.664111","40.229494, -111.680204",40.214594,-111.664111,40.229494,-111.680204,1.338,NB,130,145,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/52890,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/53158
Dashed,265.577,266.205,"40.229494, -111.680204","40.236773, -111.687364",40.229494,-111.680204,40.236773,-111.687364,0.628,NB,130,150,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/53158,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/53284
Double,266.205,267.593,"40.236773, -111.687364","40.254331, -111.698032",40.236773,-111.687364,40.254331,-111.698032,1.388,NB,130,150,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/53284,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/53562
Dashed,267.593,268.152,"40.254331, -111.698032","40.260446, -111.704962",40.254331,-111.698032,40.260446,-111.704962,0.559,NB,130,155,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/53562,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/53674
Double,268.152,269.225,"40.260446, -111.704962","40.273108, -111.716724",40.260446,-111.704962,40.273108,-111.716724,1.073,NB,130,155,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/53674,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/53889
Dashed,269.225,269.769,"40.273108, -111.716724","40.279718, -111.722334",40.273108,-111.716724,40.279718,-111.722334,0.544,NB,130,160,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/53889,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/53998
Double,269.769,270.757,"40.279718, -111.722334","40.293540, -111.725385",40.279718,-111.722334,40.29354,-111.725385,0.988,NB,130,160,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/53998,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/54196
